cpu,mem,time,io,net,lost
33,91,1510,158,2.01884,1
2,91,1515,159,2.4038,1
32,91,1519,158,2.667984,1
14,91,1524,158,2.235696,1
39,91,1529,158,2.683808,1
52,91,1534,158,2.282904,1
68,91,1539,158,2.16304,1
64,91,1544,158,2.058544,1
31,91,1549,158,2.41132,1
32,91,1553,158,2.202488,1
40,91,1558,157,1.37756,1
21,91,1563,157,1.673464,0
27,91,1568,157,1.785824,1
13,91,1573,157,2.178552,0
44,91,1577,157,1.849848,0
37,91,1581,157,1.929904,0
40,91,1586,157,1.858056,0
6,91,1591,157,1.016512,0
32,90,1596,157,1.665472,0
26,90,1600,157,1.577336,0
7,90,1605,156,1.593288,0
25,90,1610,156,2.017984,0
8,90,1614,156,2.170352,0
42,90,1619,156,1.913904,0
31,90,1624,156,2.362336,0
26,90,1628,156,1.617632,0
47,90,1633,156,3.163648,0
28,90,1637,156,2.410544,0
35,89,1642,156,2.370552,0
61,89,1647,156,2.386464,0
35,89,1651,155,2.795392,0
17,89,1655,155,2.643144,0
55,89,1660,155,2.490728,0
30,89,1664,155,2.691216,0
31,89,1668,155,2.38656,0
31,89,1672,155,3.404072,0
25,88,1677,155,2.498568,0
24,88,1681,155,2.58684,0
31,88,1686,155,2.55496,0
22,88,1691,155,2.651056,0
22,87,1695,155,2.594976,0
37,87,1700,154,2.77132,0
20,87,1704,154,2.610976,0
17,87,1709,154,2.675112,0
39,87,1714,154,2.474864,0
12,86,1718,154,2.514856,0
21,86,1723,154,2.434688,0
56,86,1728,154,2.603096,0
19,86,1732,154,2.458736,0
14,86,1737,154,2.595112,0
19,86,1742,154,2.570888,0
17,86,1746,154,2.667256,0
17,86,1751,153,2.707328,0
24,85,1757,153,3.467056,0
19,85,1761,153,2.54692,0
19,85,1766,153,2.699272,0
21,85,1770,153,2.691216,0
22,85,1775,153,2.707272,0
17,85,1780,153,2.73132,0
20,85,1784,153,2.707272,0
18,85,1789,153,2.595056,0
16,85,1794,153,2.66728,0
0,85,1807,196,1.259536,0
0,85,1812,196,1.194488,0
42,85,1817,195,0.741416,0
2,85,1821,195,1.921312,0
15,85,1827,195,2.303384,0
13,85,1833,195,2.391896,0
18,85,1839,194,4.235168,0
8,85,1844,194,2.099008,1
2,85,1849,194,3.45812,1
32,84,1854,194,2.134648,0
9,85,1860,194,2.827224,1
22,85,1866,193,2.2376,1
6,85,1871,193,3.795208,1
22,85,1876,193,3.307048,0
36,85,1882,193,2.276208,1
14,86,1887,192,5.027488,1
35,86,1893,192,3.707288,1
34,90,1898,192,2.946104,0
21,87,1904,192,2.849128,0
18,87,1909,191,2.977472,1
39,87,1916,191,3.273112,1
35,87,1921,191,4.539576,1
17,87,1926,191,3.218144,1
44,87,1932,191,5.469144,0
40,87,1938,190,3.700128,0
17,88,1944,190,3.851704,0
41,88,1950,190,2.543744,0
37,88,1956,190,2.481144,0
26,88,1961,189,1.185976,0
21,91,1966,189,1.53984,1
34,89,1972,189,6.171664,1
22,89,1979,189,3.01508,1
28,89,1985,188,5.948408,1
53,89,1991,188,4.316848,1
24,88,1997,188,2.888784,1
23,88,2002,188,4.230752,1
36,88,2008,188,6.195592,1
16,88,2014,187,5.410784,1
33,88,2020,187,2.467544,1
59,87,2025,187,3.93904,1
34,87,2031,187,4.596064,1
4,87,2036,186,2.636,1
4,87,2040,186,2.452296,0
3,87,2045,186,0.752912,0
2,87,2049,186,0.436256,0
47,87,2054,186,1.085248,1
1,87,2058,186,0.714024,1
12,87,2063,185,3.281488,1
28,88,2069,185,1.683968,1
5,87,2073,185,1.05924,1
32,87,2079,185,2.791792,1
26,87,2085,185,2.310784,0
32,87,2090,184,0.836792,0
5,87,2095,184,2.552592,1
32,87,2100,184,4.491032,1
33,88,2106,184,2.033344,0
34,88,2112,184,1.113192,0
32,88,2118,183,2.833344,0
9,88,2123,183,2.78052,1
32,89,2129,183,4.659664,1
0,89,2135,183,4.11432,1
5,88,2140,183,2.989488,0
17,88,2146,182,2.305624,1
18,88,2151,182,4.210928,0
47,88,2157,182,5.80408,0
41,90,2163,182,4.835888,0
18,90,2169,181,3.515864,0
39,90,2175,181,3.266872,0
70,90,2181,181,2.584896,0
51,90,2187,181,2.134864,0
27,91,2192,181,1.491968,0
25,90,2199,180,3.410456,0
2,90,2204,180,1.379616,0
31,90,2210,180,1.5,0
27,90,2216,180,1.178104,1
27,90,2222,180,2.15896,0
45,90,2228,179,2.327504,0
9,90,2234,179,2.1892,0
29,90,2238,179,3.250768,1
34,89,2242,179,6.35264,0
31,89,2249,179,7.348064,1
52,89,2254,179,6.739904,1
21,88,2260,178,5.011056,1
42,87,2266,178,3.392992,1
27,87,2272,178,4.619664,0
37,88,2278,178,3.811712,1
13,87,2283,178,4.180376,0
33,87,2289,177,2.817096,0
30,87,2295,177,2.487872,0
17,87,2300,177,2.519536,0
21,87,2305,177,5.41352,1
19,86,2311,177,3.22216,1
16,86,2316,176,2.245056,1
8,86,2320,176,1.85052,0
7,86,2326,176,1.97844,1
4,86,2330,176,1.291408,0
18,86,2336,176,1.6292,1
29,85,2341,176,2.650552,1
17,85,2347,175,3.114616,1
36,85,2353,175,2.574232,1
2,85,2357,175,1.210896,1
6,85,2362,175,1.791128,0
17,85,2368,175,2.352304,0
15,85,2373,175,2.833112,0
19,85,2378,174,2.207504,0
49,85,2383,174,2.4246,0
33,85,2389,174,2.8972,0
10,85,2395,174,2.19072,0
27,85,2401,174,2.191344,0
17,85,2407,173,2.502928,0
32,85,2429,173,1.781672,1
25,85,2435,173,3.170568,0
29,85,2440,172,4.6122,1
27,85,2446,172,1.731736,1
0,85,2451,172,0.114192,0
2,85,2456,172,0.239984,0
7,86,2460,172,0.164776,0
0,85,2464,172,0.12376,0
0,85,2469,171,0.061568,0
8,85,2473,171,0.693288,0
2,85,2478,171,0.13176,0
1,85,2483,171,0.173792,0
5,85,2487,171,0.080968,0
1,85,2491,171,0.089824,0
1,85,2495,171,0.132056,0
3,85,2500,171,0.314768,0
3,85,2505,170,0.323312,0
3,85,2509,170,0.36364,0
6,85,2514,170,2.68152,1
23,86,2520,170,6.180912,1
36,86,2526,170,4.579728,1
40,87,2532,170,3.273312,1
31,87,2538,169,4.612112,0
24,88,2544,169,4.396824,1
31,88,2550,169,1.54744,0
40,88,2556,169,3.828128,0
33,88,2562,169,2.769856,0
45,88,2567,168,1.401584,0
36,87,2573,168,1.811704,0
5,87,2578,168,1.369256,0
30,87,2584,168,1.385544,0
21,86,2589,168,0.612256,0
1,86,2594,168,0.081432,0
0,86,2598,168,0.206832,0
3,86,2602,167,0.080968,0
20,86,2607,167,0.098192,0
2,86,2611,167,0.132056,0
1,86,2615,167,0.10656,0
32,86,2619,167,0.181136,0
3,86,2624,167,0.131512,0
2,86,2628,167,0.568104,0
37,86,2634,167,1.145136,1
10,86,2639,166,4.169456,1
34,86,2645,166,7.077424,0
4,86,2651,166,3.986272,0
6,86,2656,166,3.46476,0
31,85,2662,166,4.171752,0
11,86,2667,166,4.549,0
18,86,2673,165,1.506272,0
1,85,2677,165,0.784128,0
0,86,2681,165,0.07592,0
6,85,2686,165,0.074632,0
2,85,2690,165,0.105824,0
0,85,2694,165,0.077808,0
3,85,2699,165,0.148416,0
1,85,2703,165,0.42088,0
19,85,2709,164,1.706048,1
2,86,2713,164,2.960392,1
5,85,2718,164,2.392328,1
15,85,2724,164,2.240672,1
34,86,2728,164,2.76904,1
4,86,2733,164,1.806888,0
9,86,2737,164,1.693344,1
35,86,2742,164,2.344216,0
15,86,2762,163,4.107736,1
6,88,2766,163,3.41908,1
21,86,2772,163,6.005336,1
17,86,2777,163,3.478256,1
8,86,2782,162,3.666416,1
19,86,2787,162,5.621568,0
35,88,2793,162,4.580504,0
58,88,2799,162,3.058272,0
4,88,2805,162,1.443344,0
54,88,2811,162,1.668824,0
35,89,2817,161,2.0538,0
43,89,2822,161,2.037968,0
27,89,2828,161,2.845744,0
35,88,2868,160,2.069672,1
27,87,2874,160,2.487928,0
9,87,2880,160,2.56012,0
43,87,2886,160,2.536376,0
19,87,2892,160,3.090088,0
20,87,2897,159,2.67224,0
30,86,2903,159,6.569528,0
27,86,2909,159,4.090144,0
21,85,2913,159,2.778176,0
39,85,2919,159,2.73752,0
56,85,2937,158,4.691368,0
25,85,2943,158,1.71812,1
32,85,2949,158,2.850032,0
60,84,2955,158,1.86992,1
10,84,2960,158,2.327824,1
23,85,2965,158,2.673224,0
23,84,2971,157,2.56084,0
24,84,2977,157,2.223656,0
23,84,2983,157,2.197744,0
20,84,2988,157,2.552216,0
16,84,2993,157,2.536872,0
45,84,2999,157,2.544304,0
13,85,3005,157,2.4886,0
31,85,3011,157,2.704872,0
24,85,3017,156,3.153648,0
25,85,3023,156,3.643888,0
20,85,3029,156,3.234552,1
66,85,3035,156,4.508896,1
19,85,3041,156,3.395096,0
19,86,3046,156,2.488144,0
26,86,3052,156,3.098384,0
27,86,3058,155,2.680488,0
32,86,3063,155,4.211248,0
20,87,3069,155,6.691624,1
35,86,3074,155,4.843872,1
36,86,3080,155,5.739736,1
38,86,3087,155,5.220128,1
23,86,3092,155,4.6198,1
33,87,3098,154,2.489296,1
44,87,3104,154,3.99636,0
24,87,3110,154,2.94604,0
55,87,3116,154,2.889488,0
33,88,3122,154,3.026,0
17,88,3128,154,3.247344,1
24,88,3133,154,3.917672,1
9,88,3138,153,6.843904,1
29,88,3144,153,6.036808,1
39,88,3150,153,5.467392,1
41,87,3157,153,5.979728,1
47,87,3163,153,4.563512,1
25,87,3169,153,2.4538,1
29,87,3174,153,3.771384,1
49,88,3180,153,4.828512,1
